youtube_video_id,youtube_url,language,channel_name,title_original,decision,reason_he
WJi4FiQHIos,https://www.youtube.com/watch?v=WJi4FiQHIos,he,Tony Wheelie,איך מרימים גלגל עם אופנוע - טוני ווילי,rejected,no_chapters_or_captions_for_content_evidence
AYi-E0rHMFM,https://www.youtube.com/watch?v=AYi-E0rHMFM,he,חיים רשיון לאופנוע,מבחן שליטה- רישיון נהיגה לאופנוע איך לבצע נכון - חיים רישיון לאופנוע,rejected,no_chapters_or_captions_for_content_evidence; title_indicates_non_instructional_or_promotional_content
bck9k6sihuc,https://www.youtube.com/watch?v=bck9k6sihuc,he,ADV Moto Life,מקשקשים בקסדה פרק 1- צביקה כהן השטח,rejected,no_chapters_or_captions_for_content_evidence
YwgKXex6VeM,https://www.youtube.com/watch?v=YwgKXex6VeM,he,Ben Kahana,הדרכת רכיבה מתקדמת בן כהנא,rejected,no_chapters_or_captions_for_content_evidence
z6NG6lPDcrU,https://www.youtube.com/watch?v=z6NG6lPDcrU,he,ADV Moto Life,מעיל רכיבה לאופנוע אדוונצ'ר ב-$69??? נשמע טוב מידי,rejected,no_chapters_or_captions_for_content_evidence
v0X0Dr8SJoE,https://www.youtube.com/watch?v=v0X0Dr8SJoE,en,Wrong Way Round,Motorcycle journey overlanding ISRAEL- מסע חוצה ישראל על אופנוע,rejected,title_indicates_non_instructional_or_promotional_content
saohAxgahSU,https://www.youtube.com/watch?v=saohAxgahSU,he,Adventure Motorcycles,הכנה לאדוונצ'ר לילה,rejected,no_chapters_or_captions_for_content_evidence
ysyoSLg8gqE,https://www.youtube.com/watch?v=ysyoSLg8gqE,he,FullgaZ Magazine,מדריך טכני: כיוון כידון ומנופים,rejected,no_chapters_or_captions_for_content_evidence
qp7U29JizO4,https://www.youtube.com/watch?v=qp7U29JizO4,en,KTVB,Two dirt bike riders rescued near Morris Creek Summit in Idaho,rejected,too_short_for_release_depth
vJRBas985qo,https://www.youtube.com/watch?v=vJRBas985qo,en,The Motorcycle Brain,The Motorcycle U-Turn Mistake That's Holding You Back,rejected,caption_tracks=157
tWxi0uyLAQY,https://www.youtube.com/watch?v=tWxi0uyLAQY,,Victor BaranovskY,תיקון פנצ'ר בפנימית אופנוע,rejected,source_not_active_public; source_unavailable; duration_missing; description_missing; no_chapters_or_captions_for_content_evidence
miTgURL20e8,https://www.youtube.com/watch?v=miTgURL20e8,he,Wild Adventures - Itay Dor,יורדים את מעלה זרון על אדוונצ'ר - טיול שקיעה זריחה שנגמר בגרירה,rejected,title_indicates_non_instructional_or_promotional_content
bhFCMdttgGA,https://www.youtube.com/watch?v=bhFCMdttgGA,he,asaf ktm,"מושחתי אמצ""ש מכים שוב, הרבה בוץ וקצת טכניקה בנגב הצפוני",rejected,no_chapters_or_captions_for_content_evidence
wzotIjnTUPI,https://www.youtube.com/watch?v=wzotIjnTUPI,he,gsfrel,טיפ/טריק חשוב שיכול להציל אתכם בזמן התקנת צמיג!,rejected,no_chapters_or_captions_for_content_evidence
0yCM4q7JPOU,https://www.youtube.com/watch?v=0yCM4q7JPOU,he,הרשות הלאומית לבטיחות בדרכים,לוקחים אחריות - עוברים לרכיבה מודעת,rejected,too_short_for_release_depth; no_chapters_or_captions_for_content_evidence
GMEV_jVBlYY,https://www.youtube.com/watch?v=GMEV_jVBlYY,he,משה טיולי שטח Moto Tours,6.3.2021 עם אדוונצ'רים במדבר יהודה,rejected,no_chapters_or_captions_for_content_evidence
wOL9k9mElog,https://www.youtube.com/watch?v=wOL9k9mElog,he,משה פרחי - רכיבה מתקדמת,בלימת חירום באופנוע עם abs,rejected,too_short_for_release_depth; no_chapters_or_captions_for_content_evidence
2z0zAvWuXvA,https://www.youtube.com/watch?v=2z0zAvWuXvA,he,"Doron Aviad: Enduro, MMA, Ski",סוף סלע 47 מסביר ומדגים איך להרים גלגל (ווילי) עם אופנוע שטח KTM,rejected,caption_tracks=2
n8T8nWXt_Nw,https://www.youtube.com/watch?v=n8T8nWXt_Nw,en,Joe Goe Motorcycle Adventures,7 Secrets For Riding Your Motorcycle At Night,rejected,caption_tracks=157; professional_source_signal; marketing_signal_present
cSchxYarffc,https://www.youtube.com/watch?v=cSchxYarffc,he, Motor shop,טיפול שרשרת לאופנוע - מדריך מושלם @MoTorshop-  שימון שרשרת וניקוי שרשרת,rejected,caption_tracks=157; professional_source_signal; marketing_signal_present
CaMfDrjMFi4,https://www.youtube.com/watch?v=CaMfDrjMFi4,he,Ask Ralbad,קצרים על בטיחות | איך רוכבים בגשם ועל כביש רטוב?,rejected,no_chapters_or_captions_for_content_evidence
kTYQIODB1pA,https://www.youtube.com/watch?v=kTYQIODB1pA,he,AviADV,"קוב 800X Rally ב-13,000 ש""ח פחות! בה.מ. מוטורס מעדכנים מחירים",rejected,too_short_for_release_depth; no_chapters_or_captions_for_content_evidence
M9bBUVyagRY,https://www.youtube.com/watch?v=M9bBUVyagRY,he,Cohen Adventure (‫צביקה כהן השטח‬‎),ציוד רכיבה,rejected,no_chapters_or_captions_for_content_evidence
28cYA5bwldQ,https://www.youtube.com/watch?v=28cYA5bwldQ,,David Beloosesky,החלפת פנימית 1,rejected,language_not_verifiable_as_he_or_en; description_missing; no_chapters_or_captions_for_content_evidence
2mbGEorWqZk,https://www.youtube.com/watch?v=2mbGEorWqZk,he,Drone Hero,Motorcycle Training | אימון אופנועים,rejected,no_chapters_or_captions_for_content_evidence
3R5kPOa3TDI,https://www.youtube.com/watch?v=3R5kPOa3TDI,he,Electric Power,חילוץ חבר תקוע בשטח,rejected,no_chapters_or_captions_for_content_evidence
xFXDYnozwbY,https://www.youtube.com/watch?v=xFXDYnozwbY,he,FullgaZ Magazine,KTM 390 Adventure - Walk Around and Ride,rejected,no_chapters_or_captions_for_content_evidence; title_indicates_non_instructional_or_promotional_content
_AX2ctfRh9M,https://www.youtube.com/watch?v=_AX2ctfRh9M,he,Green Monkey,בדיקה אופנוע לפני רכישה,rejected,description_missing
yCJSSrJswjs,https://www.youtube.com/watch?v=yCJSSrJswjs,en,Joe Goe Motorcycle Adventures,This Is Why YOU Need To Take An Advanced Motorcycle Class!,rejected,caption_tracks=157; professional_source_signal; marketing_signal_present
9vcmIOmnkQE,https://www.youtube.com/watch?v=9vcmIOmnkQE,he,Moto Lamed,היגוי הפוך - קצר וברור.,rejected,no_chapters_or_captions_for_content_evidence
FK5jeGkT4pY,https://www.youtube.com/watch?v=FK5jeGkT4pY,he,Moto Lamed,מיגון נכון לאופנוע שלך - טיונינג 🏍️👍☝️,rejected,no_chapters_or_captions_for_content_evidence
qTAqeGOSDls,https://www.youtube.com/watch?v=qTAqeGOSDls,he,Pkd Aerui,מדריך הוידאו לרוכב המתחיל - 45 שניות על זיהוי סכנות בכביש #1,rejected,too_short_for_release_depth; no_chapters_or_captions_for_content_evidence
z_haIJ8OsxY,https://www.youtube.com/watch?v=z_haIJ8OsxY,he,ProRiding Israel,יום הדרכת רכיבה ליחידת אבטחה רכובה על אופנועים,rejected,no_chapters_or_captions_for_content_evidence
qzhI9loXI5M,https://www.youtube.com/watch?v=qzhI9loXI5M,he,RY30,רכיבת אופנועי שטח אנדורו - בן שמן,rejected,description_missing; no_chapters_or_captions_for_content_evidence
leKONloNRHo,https://www.youtube.com/watch?v=leKONloNRHo,he,kRuvi,רכיבת אופנועי שטח - רק 2 פעימות - בבוץ אחרי הגשם בבן שמן 21.1.12,rejected,no_chapters_or_captions_for_content_evidence
yUPBLQYcR-E,https://www.youtube.com/watch?v=yUPBLQYcR-E,he,moshe cohen,הנמכה לאופנוע שטח האם כדאי? מה הדרך הנכונה לעשות? הנמכת מושב כן לא ואיך ? Lowering your dirt bike,rejected,no_chapters_or_captions_for_content_evidence
o67DspnS35I,https://www.youtube.com/watch?v=o67DspnS35I,he,oR1515,"הקפה של עייפות במסלול של ג'וליס, עם נפילה לקינוח",rejected,description_missing; no_chapters_or_captions_for_content_evidence
xeYcQRQiflo,https://www.youtube.com/watch?v=xeYcQRQiflo,he,בית ספר טל המרכז ללימודי נהיגה,איך עוברים טסט לאופנוע - טל המרכז ללימודי נהיגה פתח תקווה,rejected,no_chapters_or_captions_for_content_evidence
QE_LzEpXQQs,https://www.youtube.com/watch?v=QE_LzEpXQQs,he,הרשות הלאומית לבטיחות בדרכים,"חוגגים עשור לחשבון היוטיוב של הרלב""ד",rejected,too_short_for_release_depth; no_chapters_or_captions_for_content_evidence
monnV2GG-yQ,https://www.youtube.com/watch?v=monnV2GG-yQ,he,משה טיולי שטח Moto Tours,מתחילים במדבר #2 - רוכבי שטח מתחילים בטיול במדבר יהודה,rejected,title_indicates_non_instructional_or_promotional_content
BvelupbfwhM,https://www.youtube.com/watch?v=BvelupbfwhM,he,משה פרחי - רכיבה מתקדמת,בלימת חירום בכביש רטוב באופנוע שמצויד במערכת abs,rejected,too_short_for_release_depth; no_chapters_or_captions_for_content_evidence
_37R9gTBQzg,https://www.youtube.com/watch?v=_37R9gTBQzg,he,Cohen Adventure (‫צביקה כהן השטח‬‎),איך לסובב אופנוע על המקום,rejected,no_chapters_or_captions_for_content_evidence
up-0FSj9Mcs,https://www.youtube.com/watch?v=up-0FSj9Mcs,he,Cohen Adventure (‫צביקה כהן השטח‬‎),איך לתקן פנצ'ר בגלגל עם פנימית באופנוע,rejected,no_chapters_or_captions_for_content_evidence
_kUzaGCzuvQ,https://www.youtube.com/watch?v=_kUzaGCzuvQ,he,ProRiding Israel,טיפ: איך לכוון נכון את מראות האופנוע?,rejected,no_chapters_or_captions_for_content_evidence
nMiHEDMqG00,https://www.youtube.com/watch?v=nMiHEDMqG00,he,ADV Moto Life,אדוונצ'רים מצייצים - טיול פתיחת העונה בהרי ירושלים,rejected,no_chapters_or_captions_for_content_evidence; title_indicates_non_instructional_or_promotional_content
j7fQbv2UZBc,https://www.youtube.com/watch?v=j7fQbv2UZBc,en,Acer Rider,2026 Yamaha DT350R OFFICIAL LAUNCH ?😯 | Mid-Size Dual-Sport Designed for Adventure (Concept),rejected,caption_tracks=157
sMPOw3ch5Vo,https://www.youtube.com/watch?v=sMPOw3ch5Vo,en,Adventure Bikes Australia,How to Adjust the Factory Suspension on a 2023 Kawasaki KLR 650,rejected,caption_tracks=158; marketing_signal_present
H42JxZ59cPQ,https://www.youtube.com/watch?v=H42JxZ59cPQ,en,Automaz,NEW 2027 BMW F450 GS REVIEW – The Baby GS That Could Shake Up the Entire Adventure Class‼️🔥,rejected,title_indicates_non_instructional_or_promotional_content
a789n6jIfOg,https://www.youtube.com/watch?v=a789n6jIfOg,en,Joe Goe Motorcycle Adventures,CRITICAL Tips For Making U-turns On Gravel!,rejected,caption_tracks=157; marketing_signal_present
Q_okv36Amvg,https://www.youtube.com/watch?v=Q_okv36Amvg,en,MOTOTREK,BEGINNERS Guide to the BASICS of Adventure Motorcycle Control,rejected,caption_tracks=157; marketing_signal_present
RVOvQj80jc0,https://www.youtube.com/watch?v=RVOvQj80jc0,en,The Motorcycle Brain,The REAL Reason Riders CRASH in RAIN (LEARN NOW - STAY ALIVE),rejected,title_indicates_non_instructional_or_promotional_content
on-BHqK0Mf8,https://www.youtube.com/watch?v=on-BHqK0Mf8,,אופיר המהיר,טסט אופנוע בנתניה,rejected,language_not_verifiable_as_he_or_en; description_missing; no_chapters_or_captions_for_content_evidence; title_indicates_non_instructional_or_promotional_content
DOnHrnnnrt8,https://www.youtube.com/watch?v=DOnHrnnnrt8,he,אתר מידרג,בדיקת קטנוע לפני קנייה - כל הטיפים לקניית אופנוע,rejected,caption_tracks=1
YHhXoBwO_hc,https://www.youtube.com/watch?v=YHhXoBwO_hc,he,הגלסים ( אור + אילן גלס ),תרום תחת עייפות 16/5/2026,rejected,description_missing
DEek-peTQ6k,https://www.youtube.com/watch?v=DEek-peTQ6k,he,טל סנדרוני,ציוד מיגון לרוכבי אופנועי שטח,rejected,no_chapters_or_captions_for_content_evidence
GJoXwRfem-c,https://www.youtube.com/watch?v=GJoXwRfem-c,he,משה טיולי שטח Moto Tours,טיול אופנועים בצפון-כרכום עד בית הילל - בהובלת הגר קרפפן,rejected,title_indicates_non_instructional_or_promotional_content
qSIjPgzq5zQ,https://www.youtube.com/watch?v=qSIjPgzq5zQ,,ניק ג'וניור ישראל,מפרץ ההרפתקאות 🐾מבצע חילוץ בלונדון | ניק ג'וניור,rejected,source_not_active_public; source_unavailable; duration_missing; description_missing; no_chapters_or_captions_for_content_evidence
R2_2Pdd-QCg,https://www.youtube.com/watch?v=R2_2Pdd-QCg,he,ADV Moto Life,קורס רכיבת אופנוע אדוונצ'ר- סקירת שוק,rejected,no_chapters_or_captions_for_content_evidence
UMdUg4zfh2g,https://www.youtube.com/watch?v=UMdUg4zfh2g,he,ProRiding Israel,טיפ: איך לבחור קסדה נכונה לרוכב אופנוע או קטנוע?,rejected,no_chapters_or_captions_for_content_evidence
e8w0uYHGCWs,https://www.youtube.com/watch?v=e8w0uYHGCWs,he,ProRiding Israel,תנוחת רכיבה על אופנוע,rejected,no_chapters_or_captions_for_content_evidence
eDiLjZyPtP8,https://www.youtube.com/watch?v=eDiLjZyPtP8,he,משה פרחי - רכיבה מתקדמת,איזה בלם לבלום בבלימת חירום?,rejected,too_short_for_release_depth; no_chapters_or_captions_for_content_evidence
lK3FtKKaMVo,https://www.youtube.com/watch?v=lK3FtKKaMVo,he,2wheel-adventure,לרכב עם משוגעים,rejected,no_chapters_or_captions_for_content_evidence
0KIjudJZjVg,https://www.youtube.com/watch?v=0KIjudJZjVg,he,ADV Moto Life,עליית המוות של שפית- אדוונצ'ר בהרי ירושלים,rejected,no_chapters_or_captions_for_content_evidence
vTlHV9zIlkA,https://www.youtube.com/watch?v=vTlHV9zIlkA,he,FOX HEAD Israel,fox head ציוד לרכיבת שטח ומוטוקרוס,rejected,no_chapters_or_captions_for_content_evidence
U8Lsg6VYDLs,https://www.youtube.com/watch?v=U8Lsg6VYDLs,en,Ride Like a Pro Jerry Palladino,Are you ready to take an advanced rider class?,rejected,caption_tracks=157; professional_source_signal
QkbflgJuNvg,https://www.youtube.com/watch?v=QkbflgJuNvg,,alonrefael,"מה זה ""היגוי הפוך באופנוע"" ואיך מבצעים אותו ?",rejected,source_not_active_public; source_unavailable; duration_missing; description_missing; no_chapters_or_captions_for_content_evidence
ML6OCSK140A,https://www.youtube.com/watch?v=ML6OCSK140A,,golaneliyho,חוצים תעלת מים,rejected,language_not_verifiable_as_he_or_en; too_short_for_release_depth; description_missing; no_chapters_or_captions_for_content_evidence
PCcZCLdLLfM,https://www.youtube.com/watch?v=PCcZCLdLLfM,he,kRuvi,רכיבה בבוץ אחרי שבועיים של גשם ביער בן שמן 10.1.2020,rejected,description_missing; no_chapters_or_captions_for_content_evidence
uGk1EH74qeM,https://www.youtube.com/watch?v=uGk1EH74qeM,he,nivmoto,ניב אופנועים - טיפים לרכישת אופנוע משומש,rejected,no_chapters_or_captions_for_content_evidence
SypB0adl_Kw,https://www.youtube.com/watch?v=SypB0adl_Kw,,roylev500,חילוץ,rejected,language_not_verifiable_as_he_or_en; too_short_for_release_depth; no_chapters_or_captions_for_content_evidence
6JOo4__N3Wc,https://www.youtube.com/watch?v=6JOo4__N3Wc,en,2 stroke sound,Voge DS 800 X RALLY Specs COMMON PROBLEMS AND FAULTS All the BAD and the GOOD,rejected,caption_tracks=162
OLNDCTlHmWE,https://www.youtube.com/watch?v=OLNDCTlHmWE,he,הונדה אופנועים,תחשבו על הפנייה האהובה עליכם... תחשבו על אחיזת כביש מושלמת... תחשבו על הפיירבלייד החדש של הונדה!,rejected,too_short_for_release_depth; description_missing
t9ah2d7bW1w,https://www.youtube.com/watch?v=t9ah2d7bW1w,he,הכלך האבוד,החלפת פנימית - באופנוע שטח או קטנוע,rejected,no_chapters_or_captions_for_content_evidence
oMnfpPeBr2o,https://www.youtube.com/watch?v=oMnfpPeBr2o,he,SobeR RideR,כביש מהיר אופנוע חלש,rejected,no_chapters_or_captions_for_content_evidence
Mv9pGSii7Ig,https://www.youtube.com/watch?v=Mv9pGSii7Ig,he,משה טיולי שטח Moto Tours,טיול אופנועים ליוון עם צביקה כהן השטח,rejected,title_indicates_non_instructional_or_promotional_content
rUebtFqywso,https://www.youtube.com/watch?v=rUebtFqywso,he,Aloosh,5 טעויות שרוכבי אופנועים עושים | ALOOSH,rejected,no_chapters_or_captions_for_content_evidence
L2_CBYlLkWs,https://www.youtube.com/watch?v=L2_CBYlLkWs,he,Cohen Adventure (‫צביקה כהן השטח‬‎),שימוש בבקרות האופנוע ברכיבת שטח,rejected,no_chapters_or_captions_for_content_evidence
keR2svi5eSk,https://www.youtube.com/watch?v=keR2svi5eSk,he,משה פרחי - רכיבה מתקדמת,אור מתרגל בלימה ספורטיבית,rejected,too_short_for_release_depth; no_chapters_or_captions_for_content_evidence
JlbTwbRMtZI,https://www.youtube.com/watch?v=JlbTwbRMtZI,he,ADV Moto Life,"אדוונצ'רים מתחילים - טיול ראש השנה תשפ""ד לצפון",rejected,title_indicates_non_instructional_or_promotional_content
0zrwC8gNf1A,https://www.youtube.com/watch?v=0zrwC8gNf1A,he,Aloosh,טיפ שכול רוכב אופנוע צריך לדעת | ALOOSH,rejected,description_missing; no_chapters_or_captions_for_content_evidence
Za9PbWExhnk,https://www.youtube.com/watch?v=Za9PbWExhnk,en,Big Rock Moto,What Size Adventure Bike is Right for You? Here's how to decide.,rejected,youtube_chapters=13; caption_tracks=157; marketing_signal_present
vq0KW68hJp8,https://www.youtube.com/watch?v=vq0KW68hJp8,he,CarsPlace.co.il,"אופיר טרקטורונים , החלפת פנימית באופנוע שטח.MOV",rejected,too_short_for_release_depth; no_chapters_or_captions_for_content_evidence
EA1Q1evwcYY,https://www.youtube.com/watch?v=EA1Q1evwcYY,he,Cohen Adventure (‫צביקה כהן השטח‬‎),איך מעבירים הילוכים עם מגפי שטח,rejected,no_chapters_or_captions_for_content_evidence
-FUJIeErADk,https://www.youtube.com/watch?v=-FUJIeErADk,he,HiTAiR-Nanotech Israel,לקט היט אייר ניפוחים-הדגמת אפוד לרוכבי אופנוע עם כריות אוויר בעברית,rejected,too_short_for_release_depth; no_chapters_or_captions_for_content_evidence
iqjyE4h6Xds,https://www.youtube.com/watch?v=iqjyE4h6Xds,en,IPONE,How to clean and lube a motorcycle chain,rejected,too_short_for_release_depth; no_chapters_or_captions_for_content_evidence
amNoaDkfwxg,https://www.youtube.com/watch?v=amNoaDkfwxg,he,Israel Police - משטרת ישראל,מעצר רוכבי אופנועי שטח המנסים להימלט משוטרים,rejected,caption_tracks=1
BdQniPDHP9I,https://www.youtube.com/watch?v=BdQniPDHP9I,,MOTO-SHER,הדרכת בלימה והיגוי (בן),rejected,unsupported_declared_language=pl; description_missing
XlPFPsOa4Mg,https://www.youtube.com/watch?v=XlPFPsOa4Mg,he,Maticycles,איך לשרוד על הכביש עם אופנוע- היגוי נגדי,rejected,description_missing; no_chapters_or_captions_for_content_evidence
wyr5-BW9BbA,https://www.youtube.com/watch?v=wyr5-BW9BbA,en,Motorcycle World,Battlax Adventure A41 vs Tourance Next 2: Best Tires for Touring Motorcycles,rejected,caption_tracks=157
cSy1Yy_fdQM,https://www.youtube.com/watch?v=cSy1Yy_fdQM,he,Ride Vision,תמיר משה מספר כיצד המערכת של ריידויז'ן עוזרת לו לרכוב בטוח יותר,rejected,no_chapters_or_captions_for_content_evidence
QropDkHAQI4,https://www.youtube.com/watch?v=QropDkHAQI4,he,Tal Mazar,עייפות וקשיים טכניים - רכיבת אנדורו פארק קנדה NOPRO-13 Enduro riding Canada Park,rejected,caption_tracks=157
hw3vNwd76n8,https://www.youtube.com/watch?v=hw3vNwd76n8,he,The How To Channel,איך לשמור על בטיחות בנסיעה על אופנוע | 7 כללים של מקצוענים,rejected,no_chapters_or_captions_for_content_evidence
l8JKhErF8VQ,https://www.youtube.com/watch?v=l8JKhErF8VQ,en,Ultimate Motorcycling,2020 Moto Guzzi V85 TT Adventure and V85 TT First Ride Review | Ultimate Motorcycling,rejected,title_indicates_non_instructional_or_promotional_content
rFg33tIM5BY,https://www.youtube.com/watch?v=rFg33tIM5BY,he,גלגל אופניים,בדיקות לפני רכיבה - גלגל אופניים,rejected,no_chapters_or_captions_for_content_evidence
3FW73-GfqkU,https://www.youtube.com/watch?v=3FW73-GfqkU,he,יוסי מאיר,חילוץ 4X4 מחוף הים,rejected,too_short_for_release_depth
RXAvPjawlkY,https://www.youtube.com/watch?v=RXAvPjawlkY,he,משה טיולי שטח Moto Tours,טיז אזלמה-ראס מועכף-טבק אום קוניס-ראש טור -רכיבת אופנועים,rejected,caption_tracks=157
uf7L_H6I3lE,https://www.youtube.com/watch?v=uf7L_H6I3lE,he,משה טיולי שטח Moto Tours,מעבר המכוך - אופנועי שטח,rejected,no_chapters_or_captions_for_content_evidence
xDIQPsq1kSk,https://www.youtube.com/watch?v=xDIQPsq1kSk,he,ADV Moto Life,מסע אופנועי שטח דו יומי מבת שלמה לגולן והגליל,rejected,title_indicates_non_instructional_or_promotional_content
FXZLg82hwnU,https://www.youtube.com/watch?v=FXZLg82hwnU,he,משה פרחי - רכיבה מתקדמת,מה עושים אם מגיעים לפנייה או סיבוב ומגלים שהגענו מהר מדי? כל התשובות בסרטון.,rejected,no_chapters_or_captions_for_content_evidence
_0ajYJOe-LQ,https://www.youtube.com/watch?v=_0ajYJOe-LQ,he,ProRiding Israel,קורס רכיבה לאופנועים וקטנועים במגרש סגור וסטרילי - PRO1,rejected,no_chapters_or_captions_for_content_evidence
NJtlZvGq7m8,https://www.youtube.com/watch?v=NJtlZvGq7m8,he,Wild Adventures - Itay Dor,אדוונצ'ר נגד המוחרקה,rejected,caption_tracks=157
vaSAm7raUmU,https://www.youtube.com/watch?v=vaSAm7raUmU,en,Autozium,The Easiest U-Turn Trick They Never Teach You,rejected,caption_tracks=157
ChjYX_SAhx8,https://www.youtube.com/watch?v=ChjYX_SAhx8,he,"Doron Aviad: Enduro, MMA, Ski",הדרכת  רכיבת שטח - אנדורו עם אלוף הארץ סוף סלע בחסות KTM,rejected,caption_tracks=1; professional_source_signal; marketing_signal_present
yc647KP8XFE,https://www.youtube.com/watch?v=yc647KP8XFE,he,EFM Sports,איך לשטוף אופנוע שטח,rejected,no_chapters_or_captions_for_content_evidence
f-8RzryKY8Y,https://www.youtube.com/watch?v=f-8RzryKY8Y,he,Maticycles,איך לשרוד על הכביש עם אופנוע- בלמים,rejected,description_missing; no_chapters_or_captions_for_content_evidence
VOGyP6IYwhU,https://www.youtube.com/watch?v=VOGyP6IYwhU,he,Moto Lamed,בדיקת אופנוע לפני קנייה .,rejected,caption_tracks=157
4bcvJGEQuOQ,https://www.youtube.com/watch?v=4bcvJGEQuOQ,he,Moto Magazine,אלפינסטארס טק אייר בישראל - נציג החברה בראיון במוטו דוגרי,rejected,caption_tracks=157
MSLfEnMJLrY,https://www.youtube.com/watch?v=MSLfEnMJLrY,he,Nati Hadad Professional Photography,הדרכת מעבר מכשולים של קובי חמד  Enduro Training Kobi Hemed,rejected,no_chapters_or_captions_for_content_evidence
Dg6VR8FPAoY,https://www.youtube.com/watch?v=Dg6VR8FPAoY,en,The Girl On A Bike,This Might Be the Best Off-Road Riding in the World - Tasmania - Part 1 with Ultimate Cape Escape,rejected,youtube_chapters=8; caption_tracks=158; marketing_signal_present
ujNXxOrsMrI,https://www.youtube.com/watch?v=ujNXxOrsMrI,he,avior,תאונת אופנוע וטרקטורון Motorcycle And ATV Accident 12/8/16,rejected,too_short_for_release_depth; no_chapters_or_captions_for_content_evidence
MUS50DTNBgI,https://www.youtube.com/watch?v=MUS50DTNBgI,he,dark zedd,היגוי הפוך,rejected,no_chapters_or_captions_for_content_evidence
Y9D-PPxI-jo,https://www.youtube.com/watch?v=Y9D-PPxI-jo,he,freesbe מטרו,מבחן בטיחות וסקירה למיגון מתנפח אפוד מתנפח ותיק גב מתנפח של חברת MOTOAIRBAG האיטלקית,rejected,description_missing; no_chapters_or_captions_for_content_evidence; title_indicates_non_instructional_or_promotional_content
_jfkeh4b2ks,https://www.youtube.com/watch?v=_jfkeh4b2ks,he,אתר מידרג,שרשרת לאופנוע - טיפים והמלצות לשימון וכיוון שרשרת,rejected,caption_tracks=1
tG3Z2jqkjcU,https://www.youtube.com/watch?v=tG3Z2jqkjcU,he,בית ספר לנהיגה נתיבים,מה זה מבחן שליטה לאופנוע? | בית ספר לנהיגה נתיבים,rejected,too_short_for_release_depth; description_missing; no_chapters_or_captions_for_content_evidence; title_indicates_non_instructional_or_promotional_content
g8LTT8UBvmE,https://www.youtube.com/watch?v=g8LTT8UBvmE,he,הרשות הלאומית לבטיחות בדרכים,איך מנפיקים לוחית רישוי לקורקינט חשמלי ואופניים חשמליים? | רישום והתקנת לוחית זיהוי על כלי חשמלי,rejected,too_short_for_release_depth
7OQxC1D0cdY,https://www.youtube.com/watch?v=7OQxC1D0cdY,he,כרמל תחבורה 2005 בע״מ,טיפים לפני טסט אופנוע - כרמל תחבורה,rejected,no_chapters_or_captions_for_content_evidence; title_indicates_non_instructional_or_promotional_content
DSbsGr1txnU,https://www.youtube.com/watch?v=DSbsGr1txnU,he,משה טיולי שטח Moto Tours,מתחילים במדבר- רכיבה למתחילים #7,rejected,caption_tracks=157
gasnoxJav_U,https://www.youtube.com/watch?v=gasnoxJav_U,he,משה פרחי - רכיבה מתקדמת,משה פרחי ממליץ: רכיבה בתקופת הסתיו והחורף,rejected,no_chapters_or_captions_for_content_evidence
