id,youtube_video_id,youtube_url,original_or_new,language,channel_name,source_type,metadata_checked,description_checked,youtube_chapters_checked,captions_checked,transcript_checked,visual_review_performed,visual_timestamp_ranges,embed_checked,evidence_types,classification_confidence_before,classification_confidence_after,fields_reviewed,fields_changed,chapter_result,decision,decision_reason_he,review_notes_he,reviewed_at
yt-_yZRZN_X9sQ,_yZRZN_X9sQ,https://www.youtube.com/watch?v=_yZRZN_X9sQ,original,en,Bret Tkacs ADV,professional_instructor,True,True,True,True,True,False,,True,description;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=0,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-Ykxd14ynecQ,Ykxd14ynecQ,https://www.youtube.com/watch?v=Ykxd14ynecQ,original,en,MOTOTREK,training_channel,True,True,True,True,True,False,,True,description;chapters;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=1,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-EJNSrWDQYUY,EJNSrWDQYUY,https://www.youtube.com/watch?v=EJNSrWDQYUY,original,en,MOTOTREK,training_channel,True,True,True,True,True,False,,True,description;chapters;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=1;removed_wrap_up=1,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-hN0vylh__lo,hN0vylh__lo,https://www.youtube.com/watch?v=hN0vylh__lo,original,en,MOTOTREK,training_channel,True,True,True,True,True,False,,True,description;chapters;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=0,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-7b5FPbTxfs8,7b5FPbTxfs8,https://www.youtube.com/watch?v=7b5FPbTxfs8,original,en,MOTOTREK,training_channel,True,True,True,True,True,False,,True,description;chapters;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=0,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-HevLOY3Bzdg,HevLOY3Bzdg,https://www.youtube.com/watch?v=HevLOY3Bzdg,original,en,MOTOTREK,training_channel,True,True,True,True,True,False,,True,description;chapters;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=0,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-sqWbMOZ4DOA,sqWbMOZ4DOA,https://www.youtube.com/watch?v=sqWbMOZ4DOA,original,en,MOTOTREK,training_channel,True,True,True,True,True,False,,True,description;chapters;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=0,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-dh_YkU5jE8E,dh_YkU5jE8E,https://www.youtube.com/watch?v=dh_YkU5jE8E,original,en,MOTOTREK,training_channel,True,True,True,True,True,False,,True,description;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=0,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-vWdFiGoTOBA,vWdFiGoTOBA,https://www.youtube.com/watch?v=vWdFiGoTOBA,original,en,MOTOTREK,training_channel,True,True,True,True,True,False,,True,description;chapters;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=1,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-rlcGpTJl16U,rlcGpTJl16U,https://www.youtube.com/watch?v=rlcGpTJl16U,original,en,MOTOTREK,training_channel,True,True,True,True,True,False,,True,description;chapters;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=0,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-7aNhswQC7tU,7aNhswQC7tU,https://www.youtube.com/watch?v=7aNhswQC7tU,original,en,Bret Tkacs ADV,professional_instructor,True,True,True,True,True,False,,True,description;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=0,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-R3VrRIOGWWY,R3VrRIOGWWY,https://www.youtube.com/watch?v=R3VrRIOGWWY,original,en,MOTOTREK,training_channel,True,True,True,True,True,False,,True,description;transcript,high,removed,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,record_removed,removed_generic=0,replace,הוחלף כדי לעמוד במגבלת 20 סרטונים לערוץ; נשמרו סרטוני MOTOTREK החזקים והמגוונים יותר.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-eL4i6SmQbxU,eL4i6SmQbxU,https://www.youtube.com/watch?v=eL4i6SmQbxU,original,en,Cross Training Adventure,training_channel,True,True,True,True,True,False,,True,description;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=0,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-TDCajc6HYRE,TDCajc6HYRE,https://www.youtube.com/watch?v=TDCajc6HYRE,original,en,Cross Training Adventure,training_channel,True,True,True,True,True,False,,True,description;chapters;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=0,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-4RxEvSkgJdc,4RxEvSkgJdc,https://www.youtube.com/watch?v=4RxEvSkgJdc,original,en,Brake Magazine,training_channel,True,True,True,True,True,False,,True,description;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=0,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-h4hw5mEBxIE,h4hw5mEBxIE,https://www.youtube.com/watch?v=h4hw5mEBxIE,original,en,Brake Magazine,training_channel,True,True,True,True,True,False,,True,description;chapters;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=1,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-1cHdv7grbts,1cHdv7grbts,https://www.youtube.com/watch?v=1cHdv7grbts,original,en,Brake Magazine,training_channel,True,True,True,True,True,False,,True,description;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=0,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-Emksn0vHd6k,Emksn0vHd6k,https://www.youtube.com/watch?v=Emksn0vHd6k,original,he,ADV Moto Life,training_channel,True,True,True,False,False,False,,True,description;chapters,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=2,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-jg9I-H_ZY2s,jg9I-H_ZY2s,https://www.youtube.com/watch?v=jg9I-H_ZY2s,original,he,Cohen Adventure (‫צביקה כהן השטח‬‎),professional_instructor,True,True,True,False,False,True,02:00-02:05,True,description;visual_review,medium,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=0,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-lFGwRIP21OU,lFGwRIP21OU,https://www.youtube.com/watch?v=lFGwRIP21OU,original,he,Cohen Adventure (‫צביקה כהן השטח‬‎),professional_instructor,True,True,True,False,False,True,00:43-00:48,True,description;visual_review,medium,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=0,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-Dtuy4qxkZ6M,Dtuy4qxkZ6M,https://www.youtube.com/watch?v=Dtuy4qxkZ6M,original,en,MCrider - Motorcycle Training,professional_instructor,True,True,True,True,True,False,,True,description;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=0,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-NVW3lk0_SKY,NVW3lk0_SKY,https://www.youtube.com/watch?v=NVW3lk0_SKY,original,en,MCrider - Motorcycle Training,professional_instructor,True,True,True,True,True,False,,True,description;chapters;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=1,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-18eqTsDfzDU,18eqTsDfzDU,https://www.youtube.com/watch?v=18eqTsDfzDU,original,en,MCrider - Motorcycle Training,professional_instructor,True,True,True,True,True,False,,True,description;chapters;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=2,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
yt-1s4fDOyb3YA,1s4fDOyb3YA,https://www.youtube.com/watch?v=1s4fDOyb3YA,original,en,MCrider - Motorcycle Training,professional_instructor,True,True,True,True,True,False,,True,description;transcript,high,high,summary_he;learning_points_he;fit_for_he;why_watch_he;exercises_he;equipment_he;safety_warnings_he;common_mistakes_he;quality_score;quality_reason_he;skill_level;risk_level;domain;primary_category;secondary_categories;tags;motorcycle_types;motorcycle_weight_classes;terrain_types;road_conditions;chapters;verification;last_checked,chapters;last_checked;verification;why_watch_he;fit_for_he;quality_reason_he,removed_generic=0,retain,הראיות והסיווג נמצאו תואמים; נשמרה הרשומה המאומתת.,הרשומה נבדקה מחדש מול מטא־דאטה חי וראיות התוכן המתועדות; לא נשמר תמלול בפרויקט.,2026-08-04T12:00:00+03:00
